f1,f2,f3,f4,Outcome
71,2.83,640,470,Y
122,3.04,540,500,N
211,3.04,570,520,Y
145,2.88,620,480,N
79,2.58,660,580,Y
169,2.8,650,550,N
16,3.37,530,460,N
177,2.67,650,680,Y
288,4.18,620,579,Y
308,4.01,660,390,Y
1,3.59,660,500,N
122,4.43,710,690,Y
106,2.74,560,480,N
308,3.92,640,380,N
199,3.43,790,600,Y
308,3.67,490,410,Y
167,4.03,690,540,N
169,4.52,800,560,Y
243,2.86,530,510,N
73,3.02,500,490,Y
263,2.52,540,410,N
335,2.69,550,490,N
79,3.03,590,580,N
264,3.86,720,700,Y
68,3.55,620,460,Y
301,3.2,540,360,Y
71,2.95,480,460,Y
134,3.44,480,480,Y
62,2.84,540,530,Y
102,3.4,650,530,N
134,2.98,480,530,Y
308,3.36,500,320,N
135,2.27,650,470,N
111,2.55,640,500,N
79,2.56,510,510,N
85,3.26,670,510,Y
127,3.67,700,510,Y
48,2.66,460,400,Y
26,2.58,590,450,Y
278,3.75,530,660,Y
277,3.74,640,510,Y
127,3.02,620,460,Y
165,3.43,670,500,Y
311,2.13,670,570,N
308,3.86,630,530,Y
199,3.15,580,460,N
13,2.99,690,460,N
66,3.34,780,710,Y
256,3.37,660,400,N
53,2.52,620,400,Y
23,2.36,620,600,N
20,4.6,800,670,Y
45,2.92,550,530,N
288,3.14,680,670,N
278,3.28,580,560,Y
15,2.84,530,590,Y
172,3.22,520,480,N
88,2.79,500,570,N
288,2.75,620,560,N
256,3.63,580,570,Y
58,2.71,470,460,N
110,3,560,490,Y
239,3.21,600,610,N
54,4.05,640,610,Y
27,2.8,620,540,Y
239,3.09,500,500,N
177,3.1,690,600,Y
139,2.91,710,560,N
290,3.29,510,530,Y
211,2.99,630,570,Y
330,3.18,450,470,N
308,3.44,560,390,N
278,3.12,570,530,N
311,3.18,620,410,N
96,3.21,680,640,Y
75,2.44,620,480,Y
277,4.27,620,650,Y
58,3.86,700,500,Y
62,2.89,640,520,N
129,3.53,670,480,Y
